"method","trans","mode","stat","cor","beta","r.sqr"
"DID","log","ipv","ci.low",0.894599573980827,0.909563145550753,0.877104178393354
"DID","log","ipv","ci.up",0.920645779879383,0.934983081729048,0.907201235700394
"DID","log","ipv","mean",0.908652919164658,0.922914286130981,0.892208073549978
"DID","log","ipv","median",0.908988399009697,0.923237836526504,0.892075008573957
"IV","log","ipv","ci.low",0.843357332027445,0.847992044730082,0.791463033817297
"IV","log","ipv","ci.up",0.882094765504015,0.892981979831236,0.835861594792736
"IV","log","ipv","mean",0.86254672446585,0.871142494548982,0.814557883278282
"IV","log","ipv","median",0.862718771519095,0.871075042792082,0.815346339687878
"RCT","log","ipv","ci.low",0.883965286588667,0.824159369763704,0.810003898690925
"RCT","log","ipv","ci.up",0.927597785511578,0.896233750999572,0.87498935132124
"RCT","log","ipv","mean",0.910306296218216,0.866006147669664,0.849424891512349
"RCT","log","ipv","median",0.910796776147197,0.867103384755274,0.851058624426995
"RDD","log","ipv","ci.low",0.890410030918492,0.871220326584507,0.839038722405427
"RDD","log","ipv","ci.up",0.920187885123207,0.914837150058753,0.899301105786268
"RDD","log","ipv","mean",0.90587924488445,0.893824754917962,0.869145290484221
"RDD","log","ipv","median",0.906495338344967,0.893916287105117,0.868978607997641
